nr_escuela_colegio,nr_PAE,fcs,csi_alimentos_menos_preferidos,csi_pedir_prestados_alimentos,csi_reducir_numero_comidas,csi_reducir_tamano_porciones,csi_reducir_adultos,fcs_carne,fcs_vegetales
2,0,74.0,0,0,0,7,7,4,0
3,0,70.0,1,1,3,7,7,7,0
3,2,49.0,3,3,0,0,2,5,2
1,0,78.0,4,0,0,0,0,7,2
_,_,47.0,2,0,2,2,0,5,0
2,2,43.0,3,2,4,5,4,3,0
0,_,62.0,3,0,4,7,3,7,0
3,3,84.5,4,0,0,3,0,7,7
3,2,45.0,0,0,0,0,0,4,1
3,3,37.0,1,2,2,7,7,3,1
1,1,49.0,0,0,0,0,0,7,0
6,6,65.5,1,2,1,2,3,3,0
1,1,36.5,1,4,2,7,7,3,0
2,2,44.5,7,5,7,7,7,4,0
2,2,49.0,0,2,7,7,3,6,0
3,3,45.0,3,1,3,3,5,2,3
_,_,72.5,2,2,0,0,0,7,0
1,0,55.0,7,0,7,3,7,3,0
1,1,53.0,7,0,4,7,7,4,7
2,0,74.0,0,0,0,2,0,6,3
_,_,38.5,2,1,4,3,3,3,0
0,_,49.0,7,0,7,0,7,7,0
4,0,38.5,5,5,6,7,7,4,0
3,2,48.0,7,0,0,0,0,5,0
2,2,59.0,3,2,4,3,4,7,0
3,2,40.5,4,0,7,2,2,3,0
3,0,66.5,7,7,0,7,7,7,1
2,1,48.0,0,0,0,3,0,7,0
1,1,62.0,4,3,3,3,2,0,0
3,0,19.0,7,0,2,3,7,2,0
2,1,74.5,4,0,0,0,0,4,7
5,5,62.0,1,0,0,0,0,5,0
2,0,25.5,7,2,7,7,7,0,0
1,0,50.0,3,0,3,3,2,7,0
2,2,54.5,3,2,5,4,2,2,2
_,_,73.0,4,1,0,4,3,6,7
2,2,38.0,7,0,7,7,7,2,0
3,1,89.0,4,0,2,6,6,7,7
3,2,42.0,3,0,4,7,7,3,0
1,0,29.0,7,4,7,7,7,2,0
3,3,31.0,0,7,0,7,7,0,1
2,2,59.0,4,1,0,0,0,7,0
3,2,48.0,3,0,4,4,5,5,0
2,1,61.5,0,0,1,2,0,7,0
1,0,74.0,0,0,0,3,7,5,3
1,0,38.0,4,0,7,1,1,3,4
3,0,92.0,3,0,0,0,0,7,0
1,1,89.0,3,0,4,0,0,7,0
2,2,20.0,2,3,4,7,7,0,1
3,3,33.0,6,0,2,4,2,1,0
4,4,86.0,2,3,7,7,7,7,2
_,_,101.0,3,0,4,5,0,7,7
3,1,67.0,0,0,0,0,0,7,0
4,4,103.0,3,0,0,0,0,7,7
1,1,58.0,7,7,7,7,7,7,2
4,3,58.0,1,0,3,3,3,7,0
2,0,82.5,7,0,0,4,4,4,4
3,3,11.0,1,1,4,3,3,2,0
2,0,34.0,4,2,3,7,5,3,0
5,5,92.0,2,1,1,0,1,7,7
_,_,48.5,3,0,7,7,0,7,0
1,1,70.0,2,0,3,4,4,7,0
4,4,112.0,2,4,2,3,2,7,7
1,0,26.0,2,0,3,5,3,0,0
3,0,7.0,7,4,7,7,7,0,0
3,2,49.0,0,0,0,0,0,7,0
2,2,51.5,0,0,0,0,0,7,3
3,3,93.0,0,0,0,2,1,7,3
1,1,110.5,3,0,0,4,0,7,7
1,0,49.0,7,0,0,3,0,7,0
2,0,95.0,3,0,0,7,0,7,2
3,0,95.0,0,0,0,0,0,7,5
2,0,94.0,3,2,0,0,0,7,7
4,4,108.0,7,0,0,7,7,7,3
2,2,67.0,3,0,4,7,4,7,2
1,0,62.0,5,0,0,3,0,7,7
1,0,62.0,5,0,0,3,0,7,7
2,2,26.5,4,3,2,5,4,2,0
_,_,19.5,3,4,3,4,3,0,3
1,0,81.0,0,0,0,0,0,7,7
_,_,20.0,2,2,2,3,0,0,0
2,0,33.0,7,0,0,0,0,0,3
1,0,73.0,0,0,0,7,0,4,0
1,1,71.0,2,3,0,2,0,2,2
1,1,71.0,2,3,0,2,0,2,2
_,_,75.0,3,7,4,0,0,6,1
_,_,75.0,3,7,4,0,0,6,1
1,0,72.5,0,1,7,7,7,7,0
2,1,36.0,2,1,7,7,7,2,0
2,1,36.0,2,1,7,7,7,2,0
_,_,21.0,7,0,7,3,3,0,0
2,0,50.0,2,2,3,7,3,2,0
2,0,50.0,2,2,3,7,3,2,0
2,0,50.0,2,2,3,7,3,2,0
